epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,15316.6,1.22065,0.86797,1.18497,0.81184,0.74995,0.82089,0.50633,1.16251,1.03656,1.10674,0.00317557,0.00317557,0.00317557
131,15434.3,1.21655,0.86276,1.18316,0.81216,0.75063,0.82124,0.50609,1.16269,1.03359,1.1066,0.00316143,0.00316143,0.00316143
132,15552.4,1.21686,0.85595,1.17973,0.81069,0.75146,0.82133,0.50663,1.16287,1.03115,1.10684,0.00314729,0.00314729,0.00314729
133,15670.5,1.21193,0.85139,1.17722,0.80904,0.75289,0.82093,0.50701,1.16307,1.02948,1.10709,0.00313314,0.00313314,0.00313314
134,15788.3,1.20763,0.85752,1.1789,0.81388,0.74987,0.82128,0.50737,1.16365,1.0257,1.10728,0.003119,0.003119,0.003119
135,15906.6,1.2151,0.8546,1.18519,0.81583,0.74912,0.82176,0.50717,1.16403,1.02438,1.10756,0.00310486,0.00310486,0.00310486
136,16024.5,1.21322,0.85339,1.18149,0.81281,0.74945,0.82151,0.50699,1.16451,1.02179,1.10765,0.00309071,0.00309071,0.00309071
137,16142.2,1.20292,0.83881,1.17316,0.81232,0.74993,0.82096,0.5069,1.16442,1.02054,1.10754,0.00307657,0.00307657,0.00307657
138,16260.2,1.20691,0.84894,1.17391,0.813,0.75128,0.82167,0.50687,1.16443,1.01799,1.1077,0.00306243,0.00306243,0.00306243
139,16378.2,1.20144,0.84644,1.17435,0.81434,0.7511,0.82203,0.50729,1.1637,1.01633,1.10704,0.00304829,0.00304829,0.00304829
140,16495.7,1.20315,0.84077,1.1707,0.81572,0.75188,0.82266,0.50726,1.16398,1.01473,1.10688,0.00303414,0.00303414,0.00303414
141,16613.1,1.19546,0.8401,1.1723,0.81381,0.7518,0.82204,0.50759,1.1639,1.01375,1.10738,0.00302,0.00302,0.00302
142,16730.8,1.19581,0.83712,1.16869,0.81356,0.75221,0.82109,0.50709,1.16382,1.01312,1.10745,0.00300586,0.00300586,0.00300586
143,16848.5,1.2059,0.83895,1.17784,0.81279,0.75181,0.82126,0.5075,1.16381,1.00973,1.10766,0.00299171,0.00299171,0.00299171
144,16966.4,1.19626,0.8416,1.16798,0.81484,0.7521,0.82111,0.50709,1.16355,1.00798,1.1071,0.00297757,0.00297757,0.00297757
145,17083.7,1.202,0.84185,1.1738,0.81475,0.75103,0.82127,0.5071,1.16322,1.00661,1.10673,0.00296343,0.00296343,0.00296343
146,17200.8,1.19479,0.82926,1.16889,0.81473,0.75228,0.82058,0.50758,1.16321,1.00538,1.10658,0.00294929,0.00294929,0.00294929
147,17318.1,1.19202,0.82323,1.16535,0.81409,0.7536,0.82072,0.50754,1.16333,1.00305,1.10686,0.00293514,0.00293514,0.00293514
148,17435.7,1.19083,0.82956,1.1663,0.81266,0.75496,0.82089,0.50714,1.16315,1.00049,1.10679,0.002921,0.002921,0.002921
149,17553.1,1.195,0.82082,1.16483,0.81125,0.75483,0.82037,0.50753,1.16305,0.99986,1.10696,0.00290686,0.00290686,0.00290686
150,17671.3,1.18863,0.81995,1.16146,0.81218,0.75345,0.82024,0.50757,1.16339,0.99719,1.10756,0.00289271,0.00289271,0.00289271
151,17789,1.18885,0.8211,1.16125,0.81235,0.75349,0.82056,0.50791,1.16442,0.99433,1.10789,0.00287857,0.00287857,0.00287857
152,17906.3,1.18474,0.81896,1.16309,0.8143,0.75255,0.82034,0.50776,1.16416,0.99269,1.10822,0.00286443,0.00286443,0.00286443
153,18024,1.18866,0.82181,1.16712,0.81237,0.75452,0.82033,0.50718,1.16449,0.98825,1.10846,0.00285029,0.00285029,0.00285029
154,18142,1.19098,0.82906,1.16789,0.81293,0.75496,0.82019,0.50746,1.16473,0.98699,1.10843,0.00283614,0.00283614,0.00283614
155,18260.5,1.18494,0.81539,1.16135,0.81476,0.75346,0.81999,0.50738,1.16487,0.98411,1.1084,0.002822,0.002822,0.002822
156,18378.7,1.18354,0.81227,1.16241,0.81389,0.75515,0.82016,0.50762,1.16476,0.98116,1.10842,0.00280786,0.00280786,0.00280786
157,18496.6,1.17851,0.81343,1.16025,0.81124,0.75616,0.8202,0.50767,1.16444,0.97876,1.10827,0.00279371,0.00279371,0.00279371
158,18614.2,1.18031,0.8129,1.15583,0.81109,0.75617,0.82017,0.50755,1.16432,0.97638,1.10831,0.00277957,0.00277957,0.00277957
159,18732.3,1.17562,0.81037,1.16055,0.81355,0.7554,0.82065,0.50786,1.16433,0.97583,1.10848,0.00276543,0.00276543,0.00276543
